Dialogue,Emotions
"(running in from her bedroom, wearing only a towel) Okay. Hey. Umm. Doeseverybody hate these shoes?","Surprise, Confusion"
"Oh yeah, but don't worry. I don't think anybody's gonna focus on thatas long as your wearing that towel dress.","Happiness, Confidence, Excitement"
(to Ross) Tell him.,"Confidence, Excitement, Anticipation"
(to Chandler) It's her first day at this new job. Your not supposed tostart with her!,"Anger, Disgust, Frustration"
"All right, I suppose I can wait a day. Hey, what are you doing Friday?",Excitement
Why?,"Confusion, Frustration"
"I need you to come to this bachelor party for my weird cousin Albert,y'know he's the botanist.","Excitement, Anticipation, Confusion"
"Oh God. Y'know, botanists are such geeks.","Neutral, Disgust, Frustration"
Yeah. Is that a dinosaur tie?,"Happiness, Surprise"
"Hmm? Oh, yeah. (he makes a growling sound)","Neutral, Confusion, Frustration"
"(entering, with about 20 purses hanging around her neck) Morning. Rach,I'm here with the purses!","Excitement, Anticipation, Optimism"
(to Phoebe) It must take you forever to find your keys.,"Contentment, Confidence, Frustration"
"(running into the living room) Thank you, thank you, thank you, Pheebs.","Happiness, Excitement"
"Your welcome, oh please not the one with the turtles.",Neutral
"No, no, no, no turtles scare me. I don't need that today.","Fear, Disgust, Frustration"
"Honey, just relax, it's gonna be fine. Hey, umm,. why don't I come downthere and I'll take you out to lunch?","Confidence, Love, Optimism"
"Oh honey, thank you, but Mark's taking me out.","Contentment, Confidence, Love"
"Mark is that ah, the same Mark that helped you get the job?","Surprise, Anticipation, Confusion"
"Yeah, it's kinda like a 'good luck on your first day' sort of thing. (toPhoebe) Is this actually a lunchbox?","Excitement, Confusion"
"Umm, no, it's a purse. And there's a thermos in it.","Neutral, Confusion, Frustration"
Oh.,"Neutral, Surprise, Confusion"
"(to Ross) Hey, so can you make it on Friday?","Excitement, Anticipation, Optimism"
"What? Oh yeah, yeah I think so. Why am I invited to this again?","Confusion, Frustration"
Well apparently Albert has no friends. He's very excited about thebachelor party though. I think actually the only reason he's getting married is so he cansee a stripper.,"Disgust, Excitement, Anticipation"
"A stripper at a bachelor party, that is so cliché. Why don't you get amagician?!","Surprise, Disgust, Frustration"
"Well, if the magician can open my beer with his but cheeks, then allright.","Happiness, Surprise"
"She's having lunch with him. She's having lunch with him. And you shouldof seen the hug she gave him when she got the job. And, and, and, (to Joey) he's reallygood looking. (Joey gives an enthusiastic thumbs up) What am I gonna do?","Surprise, Excitement, Frustration"
Don't do anything. Keep it inside. Learn how to hide your feelings!(pause) Don't cry outloud.,"Sadness, Fear, Frustration"
(hanging up the phone) Yes! Guess who's in an audition for a Broadwaymusical?,"Happiness, Confidence, Excitement"
"I want to say you but, that seems like such an easy answer.","Neutral, Confusion, Frustration"
It is me! It's a musical version of,"Excitement, Anticipation, Optimism"
"Ah Joey, I don't think you get to pick the cities.","Neutral, Confusion, Frustration"
What?,Surprise
Mr. Dickens gets to pick 'em.,"Contentment, Confidence, Excitement"
Who?,"Neutral, Surprise, Confusion"
I'll get you the Cliff Notes.,"Contentment, Confidence"
The what?,"Surprise, Confusion, Frustration"
The abridgment.,"Neutral, Confusion, Frustration"
"Oh, okay. (to Ross) The what?","Surprise, Confusion, Frustration"
"...and the style number, and the invoice number, and the shipping date.Good. Any questions so far?","Confidence, Neutral, Frustration"
Yeah. What kind of discount do we get?,"Confidence, Excitement, Anticipation"
Twenty percent.,"Contentment, Confidence, Neutral"
Oh!! I love this job! (her phone rings) Wow! My first call.,"Happiness, Surprise, Excitement"
"Here, let me. (answers phone) Rachel Green's line, how may I help you?","Contentment, Confidence, Optimism"
"(on phone) Hi, is Rachel there?","Neutral, Anticipation, Frustration"
And who may I say is calling?,"Confidence, Neutral"
This is Ross?,"Surprise, Confusion"
Ross of.....,"Confidence, Excitement, Optimism"
Of Ross and Rachel.,"Love, Excitement, Nostalgia"
"Oh hi. It's, it's Mark.","Contentment, Neutral, Surprise"
"Oh hey, hey Mark.","Happiness, Confidence, Excitement"
"Hey, hold on a second.",Neutral
Okay.,Neutral
Hi honey!,"Happiness, Love, Excitement"
"Hi! What's ah, what's Mark doing answering your phone?","Surprise, Confusion, Frustration"
"Oh, he's just goofing around.","Happiness, Contentment, Excitement"
"Ohhhhh yeah, that's, that's funny. Why ah, why isn't he goofing around inhis own office?","Confusion, Frustration"
"Oh honey, this is his office too. I told you we're Joanna's twoassistants.","Happiness, Contentment, Confidence"
"Why does Joanna need two assistants, how, how lazy is she?","Disgust, Confusion, Frustration"
Oh! Oh my God! What did I just do?,"Fear, Surprise, Confusion"
What?,"Surprise, Confusion, Frustration"
"I think I just shipped 3,000 bras to personnel. Oh honey, I gotta go.(to Mark) Mark, I need you!","Surprise, Excitement, Frustration"
"Okay, bye-bye. (starts slamming the receiver down in anger.)","Neutral, Anger, Frustration"
Ow! Ross!!,"Anger, Surprise, Frustration"
"Oh, oh, I'm, I'm, I'm sorry sweetie, I was just trying to ah, I'm dialinganother number. (hangs up)","Confusion, Frustration"
"(to Monica) All right, I just got changed in thirty seconds so you canbe alone with him. You'd better go for it.","Confidence, Excitement, Frustration"
"Please, I'm not going for anything.",Neutral
"Well, if you don't, I will.","Confidence, Frustration"
Would you please go?,"Neutral, Frustration"
Night Mon. Night Julio.,"Happiness, Contentment, Confidence"
(to Jeannine) Adios.,"Confidence, Neutral, Frustration"
"Look Julio, someone left their book here.","Contentment, Neutral, Surprise"
"Ah actually, that is mine.","Contentment, Confidence, Neutral"
"Oh yeah, what are you reading?",Neutral
"Flowers of Evil, by Beaudalire. Have you read it?","Neutral, Nostalgia"
"Have I read it? (pause) No, are you enjoying it?","Neutral, Anticipation, Confusion"
"I thought I would, but the translation's no good.","Neutral, Frustration"
Your a poet and don't know it. (she turns away and makes a face like 'Ican't believe I just said that.'),"Surprise, Disgust"
"Actually I ah, I am a poet.","Contentment, Confidence, Excitement"
"Oh, then you do know it. (pause) So um what kind of things do you writeabout?","Neutral, Confusion"
"Things that move me. The, the shadow of a tree, a child laughing, or thislip. (points to her lip)","Happiness, Contentment, Love"
Mine? (points to her lower lip) Right here?,"Surprise, Anticipation, Confusion"
I can write an epic poem about this lip. (grabs her lower lip),"Love, Excitement, Anticipation"
"How would that go? (they kiss) Well, it didn't rhyme, but I liked it.","Happiness, Love, Excitement"
"(singing) You've got to pick a pocket or two. Boyyyyssss, (picks ahandkerchief from the pianist's pocket) you've got to pick a pocket or two..........","Happiness, Confidence, Excitement"
"Lovely, just lovely.","Happiness, Contentment, Optimism"
Really? Thanks.,"Happiness, Surprise"
"Listen Joey, we definitely want to see you for the callback onSaturday.","Happiness, Excitement, Optimism"
"Excellent, I'll be there.","Happiness, Confidence, Excitement"
