Dialogue,Emotions
Previously on Friends...,"Happiness, Excitement, Nostalgia"
Previously on Friends...,"Happiness, Excitement, Nostalgia"
How did the job stuff go?,"Neutral, Anticipation"
He offered me one.,"Happiness, Contentment, Neutral"
(gasps) You know what? This calls for a bottle of Israels finest.,"Happiness, Excitement, Anticipation"
The job is in Paris. (we see Ross stare in disbelief),"Surprise, Nostalgia"
"Oh, God! Please, somebody  say something.","Fear, Frustration"
So if you take this job you'll be moving to Paris?,"Excitement, Anticipation, Optimism"
Or facing a bitch of a commute.,"Neutral, Frustration, Optimism"
"I know, it's huge, and it's scary, and it's... really far, far away   from you guys, but this is such an incredible opportunity for me. And I've already   talked to them about our situation with Emma, and they said they'll do whatever   we need to make us feel comfortable.","Confidence, Excitement, Anticipation"
Okay.,"Contentment, Confidence, Neutral"
"I mean, I'll fly back and forth, they'll fly you out...","Excitement, Anticipation, Optimism"
My boss said I might be getting a new lamp in my cubicle. (Monica   looks at him and can't really place what he just said),"Neutral, Confusion, Frustration"
"All right, we'll work it out.","Contentment, Confidence, Optimism"
Thank you! Thank you!,"Happiness, Excitement"
"Yeah, yeah! (they hug) You sure this is what you want?","Happiness, Love, Excitement"
I,"Neutral, Confusion, Frustration"
"Ooh, what's going on?","Surprise, Excitement, Confusion"
I got a really incredible job offer.,"Happiness, Excitement, Anticipation"
"Hey, great! All right!","Happiness, Excitement, Optimism"
Good for you!,"Happiness, Contentment, Confidence"
It's in Paris.,"Neutral, Excitement, Anticipation"
"What? No, no, no! No, no... no... no, no... No, too much is changing,   okay? First, Phoebe getting married (to Phoebe) Congratulations! (pointing to   Monica and Chandler)... and then these two move into a stupid house in the stupid   suburbs...","Disgust, Confusion, Frustration"
"Hey, this afternoon you said you'd be supportive...","Confusion, Frustration"
"Well, it comes and goes. I wouldn't trust it.",Neutral
"Look, you guys... this is really, really important to me. And it means   a lot if you could try to get on board.","Anticipation, Longing"
"Of course we can. Congratulations. (they hug, but Joey shakes his head.)   Yay! (she gestures Joey to come and join in) Joey...","Happiness, Excitement, Anticipation"
"No, no, no. My hugs are reserved for people STAYING IN AMERICA.","Confidence, Anger, Disgust"
"(walking towards Joey) Joey, it would mean so...","Happiness, Love, Excitement"
"Hey! No! Get your France-going-arms away from me. (He walks out, and   Rachel follows him)","Anger, Confusion, Frustration"
Joey...,"Contentment, Neutral, Nostalgia"
You okay with this?,"Contentment, Confidence, Neutral"
"Well, it makes me feel sad, but...","Neutral, Sadness, Frustration"
Talking to Ross.,"Contentment, Confidence, Neutral"
I see.,"Contentment, Neutral, Confusion"
"Well, Rachel moving to another country? Not being able to see her every   day. How can I be okay with this?","Sadness, Confusion, Longing"
"I know, but what are we gonna do? She really needs this job.",Unknown
"Do you think if the Ralph Lauren people offered her her old job back,   she would take it?","Neutral, Anticipation, Nostalgia"
How is that gonna happen?,"Confusion, Frustration"
Is this the best way to use one of your three magic wishes?,"Confidence, Frustration, Optimism"
I don't know. I could talk to her boss. Yeah! I met him at that Christmas   party. We really hit it off.,"Confidence, Excitement, Anticipation"
You mean the guy who kept calling you Ron?,"Surprise, Confusion, Frustration"
I didn't say we were brothers.,"Neutral, Confusion, Frustration"
"Hey Phoebe. Hey, tell me what you think. All right. The house next   door to the one that we're buying in Westchester? Just went on the market. I wanna   take a look at it, but Chandler doesn't.","Excitement, Anticipation, Frustration"
